StoreId,Item Id,Category,Store Quantity,Online Quantity,SpecialPrice,Upc,ProductLabel,BrandName,IsLimitedQuantity,OriginalPrice,DollarOff,AvailabilityType,BossEstimatedShippingEndDate,SthEstimatedShippingStartDate,SthEstimatedShippingEndDate,FreeShippingThreshold,ExcludedShipStates,FreeShippingMessage,BossEstimatedShippingStartDate,WebURL,TotalReviews,AverageRating,Description,BuyOnlineShipToStoreEligible,IsTopSeller,BuyOnlinePickupInStoreEligible,ModelNumber,VendorNumber,AttributeValue,DimensionName,DimensionValue Name,DiscountEndDate,PromoLongDescription,DiscountStartDate,Image Links
0541,202597822,Bathroom Wall Cabinets,0,62,79.24,043197132031,21.5 in. W x 24 in. H Bathroom Storage Wall Cabinet in White,Zenna Home,false,79.24,0,Shared,2020-08-28,2020-08-21,2020-08-21,$45.00,,Ships FREE with $45.00 Order,2020-08-25,//www.homedepot.com/p/Zenna-Home-21-5-in-W-x-24-in-H-Bathroom-Storage-Wall-Cabinet-in-White-9918WWA/202597822,149,3.3758,"The Zenna Home Collette Wall Cabinet provides storage versatility in an attractive and compact design that's sure to help organize any bathroom with limited space for linens, toiletries and other bath essentials. The cabinet has both an open shelf and 2-tiers of hidden storage behind its doors. Its interior shelf is adjustable so you can customize its placement for taller items. The engineered wood cabinet is fully assembled and ready to install on your wall. Instructions are included.",true,false,true,9918WWA,72797,Wood,Brand,,12/31/9999,Test,09/05/2019,"https://images.homedepot-static.com/productImages/303de02a-c4fa-4ca2-ac3c-b49ea3bd652c/svn/white-zenna-home-bathroom-wall-cabinets-9918wwa-64_600.jpg , https://images.homedepot-static.com/productImages/02af0ece-de6f-49c9-ba79-840ba2f9f33b/svn/white-zenna-home-bathroom-wall-cabinets-9918wwa-c3_600.jpg , https://images.homedepot-static.com/productImages/1e992b7a-2dc3-4e6d-ad92-e482562f33e9/svn/white-zenna-home-bathroom-wall-cabinets-9918wwa-4f_600.jpg , https://images.homedepot-static.com/productImages/220db01a-c80f-4b29-a941-4ca93a53593c/svn/white-zenna-home-bathroom-wall-cabinets-9918wwa-1f_600.jpg"
0541,303507738,Bath Fans,0,35,175.46,885917002367,"Signature 80/110 CFM Adjustable Speed Ceiling Bathroom Exhaust Fan with Dimmable LED Light, ENERGY STAR",Delta Breez,false,175.46,0,Online,2020-08-28,2020-08-21,2020-08-21,$45.00,"AK,GU,HI,PR,VI",Ships FREE with $45.00 Order,2020-08-25,//www.homedepot.com/p/Delta-Breez-Signature-80-110-CFM-Adjustable-Speed-Ceiling-Bathroom-Exhaust-Fan-with-Dimmable-LED-Light-ENERGY-STAR-SIG80-110LED/303507738,129,4.4186,"The exceptional reliability of Deltas Brushless DC Motor is combined with control options including adjustable continuous low speed down to 30 CFM. Delta Breez model SIG80-110LED has been awarded ENERGY STAR qualified with Brushless DC Motor engineered to run continuously for a minimum 70,000 hours; airflow rating of 110 CFM and loudness rating of less than 0.3 Sones at 0.1 in. static pressure as certified by the Home Ventilating Institute (HVI); power consumption of 9.7-Watt with efficiency rating of 12.7 CFM/Watt at 0.1 in. static pressure; fan will feature motor lock protection and self-compensating motor speed for intended airflow when static pressure is encountered. LED life is 30,000 hours (compare with 10,000 hours CFL life). (1) 13-Watt LED main light and (1) 2-Watt LED night light are included. Main light output is 800-Lumens and 2700K. UL and cUL listed for tub/shower enclosure when used with GFCI-protected branch circuit wiring.",true,false,false,SIG80-110LED,72794,1,Brand,,12/31/9999,Test,09/05/2019,"https://images.homedepot-static.com/productImages/40f3f47f-6aa4-463a-a819-b2292a6c23d5/svn/white-delta-breez-bath-fans-sig80-110led-64_600.jpg , https://images.homedepot-static.com/productImages/57be6816-81c0-4b38-81d2-159848ad655b/svn/white-delta-breez-bath-fans-sig80-110led-e1_600.jpg , https://images.homedepot-static.com/productImages/bcbfbcb1-1bf7-4cac-9db9-3b7688887de7/svn/white-delta-breez-bath-fans-sig80-110led-40_600.jpg , https://images.homedepot-static.com/productImages/9665cb1b-f264-4fe1-95e7-685a9d994130/svn/white-delta-breez-bath-fans-sig80-110led-a0_600.jpg , https://images.homedepot-static.com/productImages/87bed9f9-81c9-45a7-981c-f3c8b6f16428/svn/white-delta-breez-bath-fans-sig80-110led-1d_600.jpg , https://images.homedepot-static.com/productImages/ba4bd89f-3ef5-4440-8420-827084d4cf4b/svn/white-delta-breez-bath-fans-sig80-110led-66_600.jpg"
0541,100401234,Saw Accessories,0,0,149,647096521127,Precision Miter Gauge System,Kreg,false,149,0,Shared,,,,,"GU,PR,VI",,,//www.homedepot.com/p/Kreg-Precision-Miter-Gauge-System-KMS7102/100401234,37,4.8108,"Use the Kreg Precision Miter Gauge System to cut perfect miters. It features a gauge head machined on a computerized milling machine for increased precision. It also has an easy-to-read Vernier scale for precise angle adjustments up to 1/10th of a degree. Five bar adjusters eliminate ""play"" between the bar and miter slot for a perfect fit. A 24 in. Heavy-Duty Trak section with Swing Stop and self-adhesive measuring tape is included.",true,false,false,KMS7102,72793,Brass pin for quick changes between positive stop angles,Brand,,12/31/9999,Test,09/05/2019,"https://images.homedepot-static.com/productImages/c30e9379-7b36-4d4b-8adb-dfd28ae948d7/svn/kreg-saw-accessories-kms7102-64_600.jpg , https://images.homedepot-static.com/productImages/2cdeb411-c638-4854-849e-7035bca4a2c2/svn/kreg-saw-accessories-kms7102-e1_600.jpg , https://images.homedepot-static.com/productImages/26532307-8941-4ac5-9314-fe832c166cb3/svn/kreg-saw-accessories-kms7102-40_600.jpg , https://images.homedepot-static.com/productImages/6c380d94-5ea5-406d-b895-9bb0877c1d87/svn/kreg-saw-accessories-kms7102-a0_600.jpg"
0541,302843918,Landscape Fabric,0,0,104,858316007035,4 ft. x 100 ft. Matrix Grid Landscape Fabric (4-Pack),Vigoro,false,104,0,Online,,,,,"AK,GU,HI,PR,VI",,,//www.homedepot.com/p/Vigoro-4-ft-x-100-ft-Matrix-Grid-Landscape-Fabric-4-Pack-VPNM410085-4PK/302843918,537,4.6089,"The Vigoro 4 ft. x 100 ft. Matrix Grid Landscape Fabric 4 pack is perfect for all your landscape, hardscape, garden, planting, live goods, pathway and soil erosion projects. The durable patented 3-layer technology utilizing a unique combination of a non-woven top layer, a matrix grid core center and a non-woven bottom layer delivers a landscape fabric that is at least 2 times stronger than most fabrics. This unique technology allows for superior weed blocking along with air and water permeability that allows air and water to pass through the fabric to help maintain optimal soil conditions. The structural matrix grid core center design helps make measuring, cutting and fabric fastening into the soil easy, keeps the fabric in place and secure for any project. Whether you are a PRO or a DIY enthusiast, the Vigoro 4 ft. x 100 ft. Matrix Grid Landscape Fabric is excellent for any large or small project to help save you time and money.",true,false,true,VPNM410085-4PK,60006787,3-layer technology MATRIX GRID core 2X stronger than most fabrics,Category,,12/31/9999,Test,09/05/2019,"https://images.homedepot-static.com/productImages/1f004f14-5b88-4d72-9fc2-7eec103edf14/svn/vigoro-landscape-fabric-vpnm410085-4pk-64_600.jpg , https://images.homedepot-static.com/productImages/d8f7ab17-a56a-4168-89a1-7782f510cdd0/svn/vigoro-landscape-fabric-vpnm410085-4pk-e1_600.jpg , https://images.homedepot-static.com/productImages/a27e6901-d3ca-4690-9ffe-76dffaf74f6e/svn/vigoro-landscape-fabric-vpnm410085-4pk-40_600.jpg , https://images.homedepot-static.com/productImages/828ddb19-71d6-495d-a8a1-890115e797d6/svn/vigoro-landscape-fabric-vpnm410085-4pk-1d_600.jpg , https://images.homedepot-static.com/productImages/029c72c2-64cc-44f4-8f7d-0aa3af3cfcd6/svn/vigoro-landscape-fabric-vpnm410085-4pk-66_600.jpg , https://images.homedepot-static.com/productImages/a48e1da6-fcf8-4235-a6f6-436a67d35514/svn/vigoro-landscape-fabric-vpnm410085-4pk-77_600.jpg , https://images.homedepot-static.com/productImages/feb46c96-4222-4e0e-a22b-39e52ddebf2f/svn/vigoro-landscape-fabric-vpnm410085-4pk-4f_600.jpg , https://images.homedepot-static.com/productImages/9cf74170-1ac8-4f0d-80b5-aa06bdefbad7/svn/vigoro-landscape-fabric-vpnm410085-4pk-1f_600.jpg , https://images.homedepot-static.com/productImages/59b7b7c8-8e50-42bf-9f2a-7d5da936f40d/svn/vigoro-landscape-fabric-vpnm410085-4pk-44_600.jpg , https://images.homedepot-static.com/productImages/711eb062-0d82-41f2-9609-4d639171144d/svn/vigoro-landscape-fabric-vpnm410085-4pk-fa_600.jpg , https://images.homedepot-static.com/productImages/56a690c5-3c37-4c80-8e69-c2fff0d6e98c/svn/vigoro-landscape-fabric-vpnm410085-4pk-76_600.jpg , https://images.homedepot-static.com/productImages/b249391c-0b8a-4c5c-9f28-2a0c8589e444/svn/vigoro-landscape-fabric-vpnm410085-4pk-31_600.jpg"
0541,308056104,Power Tool Batteries,0,3635,149,033287176328,18-Volt ONE+ LITHIUM+ HP 3.0 Ah Battery (2-Pack) Starter Kit with Charger and Bag,RYOBI,false,149,0,Shared,2020-08-25,2020-08-24,2020-08-24,$45.00,"AK,GU,HI,PR,VI",Free Shipping,2020-08-20,//www.homedepot.com/p/RYOBI-18-Volt-ONE-LITHIUM-HP-3-0-Ah-Battery-2-Pack-Starter-Kit-with-Charger-and-Bag-P166/308056104,3978,4.777,"RYOBI introduces the 18-Volt ONE+ Lithium-Ion LITHIUM+ Battery Starter Kit with (2) 3.0 Ah LITHIUM+ HP High Capacity Batteries, 18-Volt Charger, and Bag. These batteries feature advanced electronics to allow you to maximize tool performance with added capacity to all 18-Volt ONE+ tools. With superior runtime, power, and performance, these batteries can take on more demanding applications than ever before with the introduction of HP Technology. HP Technology communicates with brushless tools to maximize performance in all applications, allowing users to make faster cuts, drive larger screws, utilize bigger drill bits, etc. These batteries have a durably constructed frame for impact protection and have a built-in 4-bar illuminated charge indicator. These batteries are part of the System of over 175 Cordless Tools that all work on the same battery platform. These two 3.0 Ah LITHIUM+ HP High Capacity batteries include an 18-Volt Charger, a tool bag, and an operator's manual.",true,false,true,P166,72793,Over 175 ONE+ Tools – All Work With Any RYOBI ONE+ 18V Battery,Category,,12/31/9999,Test,09/05/2019,"https://images.homedepot-static.com/productImages/7cdc0395-a7e0-4527-ae75-9102cfec4751/svn/ryobi-power-tool-batteries-p166-64_600.jpg , https://images.homedepot-static.com/productImages/bca532d6-ce6c-47ab-9528-167b4d1aa762/svn/ryobi-power-tool-batteries-p166-66_600.jpg , https://images.homedepot-static.com/productImages/1bfcdcc6-544e-4d19-b15a-e75a30a69c88/svn/ryobi-power-tool-batteries-p166-77_600.jpg , https://images.homedepot-static.com/productImages/f75f48f4-344b-4ecb-989f-44b4bb953a63/svn/ryobi-power-tool-batteries-p166-c3_600.jpg , https://images.homedepot-static.com/productImages/9873d6fb-7b88-46e4-8468-8e855fb9c0b9/svn/ryobi-power-tool-batteries-p166-4f_600.jpg , https://images.homedepot-static.com/productImages/68f1a95d-4406-411b-9017-4abf4c58abcc/svn/ryobi-power-tool-batteries-p166-1f_600.jpg , https://images.homedepot-static.com/productImages/a12a3a10-6a48-4d8a-80b8-def98c2a2bb9/svn/ryobi-power-tool-batteries-p166-44_600.jpg , https://images.homedepot-static.com/productImages/5549b081-c9ca-41bd-bcdc-8d04c7abe339/svn/ryobi-power-tool-batteries-p166-fa_600.jpg , https://images.homedepot-static.com/productImages/ad02cc6d-19cd-4957-92a6-6e0f5f605444/svn/ryobi-power-tool-batteries-p166-76_600.jpg , https://images.homedepot-static.com/productImages/68cf7f42-5c93-4730-8e5e-be30dd5ed15b/svn/ryobi-power-tool-batteries-p166-d4_600.jpg , https://images.homedepot-static.com/productImages/92787d7e-5f70-49be-9a40-1c2d48a649ef/svn/ryobi-power-tool-batteries-p166-31_600.jpg"
0541,300185284,Reciprocating Saws,0,21,236.89,045242493197,M18 FUEL ONE-KEY 18-Volt Lithium-Ion Brushless Cordless SAWZALL Reciprocating Saw (Tool-Only),Milwaukee,false,236.89,0,Shared,2020-08-28,2020-08-21,2020-08-21,$45.00,"AK,GU,HI,PR,VI",Free Shipping,2020-08-25,//www.homedepot.com/p/Milwaukee-M18-FUEL-ONE-KEY-18-Volt-Lithium-Ion-Brushless-Cordless-SAWZALL-Reciprocating-Saw-Tool-Only-2721-20/300185284,144,4.7708,"The M18 FUEL SAWZALL Reciprocating Saw cuts faster than its corded counterparts and offers up to 2X more runtime and 5X longer tool life than competitive saws. The POWERSTATE brushless motor provides cutting power that has only been associated with corded tools. The M18 REDLITHIUM XC 5.0 extended capacity battery pack (not included) delivers up to 2X runtime and provides more work per charge and more work over the life of the pack than competitive batteries. The saws REDLINK PLUS Intelligence ensures optimized performance and protection from overloading, overheating and over-discharging. The 18-Volt lithium-ion SAWZALL features an adjustable shoe, integrated LED light and a hang hook for convenient storage on the job. Compatible with 1-KEY, this is the industry's first Reciprocating Saw that wirelessly connects to a smart phone to customize, track and manage a tools performance and location. Unlimited tool customization allows you to connect to the tool and access predetermined set-ups for blades and materials or have complete control over output speed and power for the specific application at hand. The tools memory supports up to 4 custom profiles that can be easily accessed with the touch of a button on the tool. Integrated tool tracking, also available through 1-KEY, provides full visibility to how and where tools are being used across your network of jobs and users.",true,false,true,2721-20,72793,"Fully compatible with the M18 system, featuring over 200+ tools",Category,,12/31/9999,Test,09/05/2019,"https://images.homedepot-static.com/productImages/9be5f086-e884-47ab-84be-c7625bb95015/svn/milwaukee-reciprocating-saws-2721-20-64_600.jpg , https://images.homedepot-static.com/productImages/41b4f374-a74a-46a4-ad6b-47e46e99cf9e/svn/milwaukee-reciprocating-saws-2721-20-e1_600.jpg , https://images.homedepot-static.com/productImages/78dfbb70-0088-4d77-9d3a-0452ac2489f0/svn/milwaukee-reciprocating-saws-2721-20-40_600.jpg , https://images.homedepot-static.com/productImages/ce8baac6-a21c-45d9-8e11-46924bd906d0/svn/milwaukee-reciprocating-saws-2721-20-a0_600.jpg , https://images.homedepot-static.com/productImages/3da2bfc8-ef5e-48bb-ab2c-f927f291f09c/svn/milwaukee-reciprocating-saws-2721-20-1d_600.jpg , https://images.homedepot-static.com/productImages/76121f53-f6f4-4393-a02a-dcf99cca976f/svn/milwaukee-reciprocating-saws-2721-20-66_600.jpg , https://images.homedepot-static.com/productImages/769c3356-c475-493a-837a-24198eec545c/svn/milwaukee-reciprocating-saws-2721-20-77_600.jpg , https://images.homedepot-static.com/productImages/8c65c0ed-9d72-4f9b-ba52-ddd0c878ada3/svn/milwaukee-reciprocating-saws-2721-20-c3_600.jpg , https://images.homedepot-static.com/productImages/0601b310-ebd3-44b9-9c23-645e32d4af89/svn/milwaukee-reciprocating-saws-2721-20-4f_600.jpg , https://images.homedepot-static.com/productImages/64549c02-4fc2-4e9c-a1dd-e49d2553d1ea/svn/milwaukee-reciprocating-saws-2721-20-1f_600.jpg , https://images.homedepot-static.com/productImages/8c65c0ed-9d72-4f9b-ba52-ddd0c878ada3/svn/milwaukee-reciprocating-saws-2721-20-44_600.jpg , https://images.homedepot-static.com/productImages/0601b310-ebd3-44b9-9c23-645e32d4af89/svn/milwaukee-reciprocating-saws-2721-20-fa_600.jpg , https://images.homedepot-static.com/productImages/64549c02-4fc2-4e9c-a1dd-e49d2553d1ea/svn/milwaukee-reciprocating-saws-2721-20-76_600.jpg , https://images.homedepot-static.com/productImages/094bd788-6265-433a-b7a7-732b749bb733/svn/milwaukee-reciprocating-saws-2721-20-31_600.jpg"
0541,202207818,Awning & Hopper Windows,0,16,58.89,752494132162,31.75 in. x 15.75 in. Hopper Vinyl Window with Screen,TAFCO WINDOWS,false,58.89,0,Online,2020-08-31,2020-08-27,2020-08-27,$45.00,"AK,GU,HI,PR,VI",Ships FREE with $45.00 Order,2020-08-28,//www.homedepot.com/p/TAFCO-WINDOWS-31-75-in-x-15-75-in-Hopper-Vinyl-Window-with-Screen-PV-HOP-32x16/202207818,629,4.5294,TAFCO Hopper Window is manufactured with a heavy duty extruded welded vinyl sash and main frame. The window tilts inward for easy cleaning and operation. Insulated glass and durable wool pile seals keep cold air out and warm air in. Included is an easily removable full screen to keep insects out. The Tafco Hopper Window is the perfect choice for your new construction or remodeling needs.,true,false,false,PV-HOP 32x16,60082412,Tilts inward for easy access and cleaning,Brand,,12/31/9999,Test,09/05/2019,"https://images.homedepot-static.com/productImages/f6e16013-6e09-40f8-abac-0d2b88cf9ccf/svn/white-tafco-windows-awning-hopper-windows-pv-hop-32x16-64_600.jpg , https://images.homedepot-static.com/productImages/a9d8f18b-1e69-4eba-a1bf-77c8e82f64f4/svn/white-tafco-windows-awning-hopper-windows-pv-hop-32x16-c3_600.jpg , https://images.homedepot-static.com/productImages/2a29e829-b5ef-4ac0-9958-7492d75e151f/svn/white-tafco-windows-awning-hopper-windows-pv-hop-32x16-4f_600.jpg , https://images.homedepot-static.com/productImages/ee56f00a-61af-4d4d-b664-5d7fdf7114cd/svn/white-tafco-windows-awning-hopper-windows-pv-hop-32x16-1f_600.jpg , https://images.homedepot-static.com/productImages/b9ba5f8b-28e0-4054-a2d4-b7b831a6f250/svn/white-tafco-windows-awning-hopper-windows-pv-hop-32x16-44_600.jpg"
